loc,cyclomatic_complexity,halstead_volume,function_count,avg_cyclomatic_complexity,commits,contributors,lines_added,lines_deleted,owner,repo,language,complexity_mode,complexity_score,estimated_effort_hours,estimated_effort_person_months
0,0,0.0,0,0.0,15,2,1796,149,neva-dev,javarel-osgi-plugin,Groovy,lookup,0.75,0.0,0.0
1117,329,3793.5,304,1.082236842105263,9,1,3832,149,AndyObtiva,DatingNetwork,PHP,lookup,0.75,378.54,2.49
23119,5126,250384.5,2822,1.816442239546421,2196,231,103976,61657,lovell,sharp,JavaScript,lookup,0.75,10607.62,69.79
